accession	name_in_vcf	include_in_map	include_in_network	include_in_admixture	admixture_expanded	big_admix?	selection_scan_pop	admix_pop	network_color	population	latitude	longitude	ploidy_man_curated	nquire_ploidy	proportion_het%_NT1fin	Nb_S_groups_DB2022_man_curated	Species_fin	source	source_type	experimentaly_validated	snps_(2n)	collector,_comments	admix	twisst_Siberia	selection_test	est-sfs	demographic_modeling_pops							
NT17.1-2	NT17.1-2	yes	yes	yes	yes	yes	CESiberia_2n	NT17	orange	CESiberia_2n	71.31612	129.44675	2	2	0,40	2	A._lyrata	NT_batch_2_2020	seeds			Nikita_Tikhomirov		CESiberia_2n			CED							
NT17.1-4	NT17.1-4	yes	yes	no	no	yes	CESiberia_2n	NT17	orange	CESiberia_2n	71.31612	129.44675	2	2	0,40	2	A._lyrata	NT_batch_2_2020	seeds			Nikita_Tikhomirov		CESiberia_2n			CED							
NT17.1-5	NT17.1-5	yes	yes	no	no	yes	CESiberia_2n	NT17	orange	CESiberia_2n	71.31612	129.44675	2	2	0,40	2	A._lyrata	NT_batch_2_2020	seeds			Nikita_Tikhomirov		CESiberia_2n			CED							
NT17.4-1	NT17.4-1	yes	yes	yes	yes	yes	CESiberia_2n	NT17	orange	CESiberia_2n	71.31612	129.44675	2	3	0,42	2	A._lyrata	NT_batch_2_2020	seeds			Nikita_Tikhomirov		CESiberia_2n			CED							
NT17.4-2	NT17.4-2	yes	yes	no	no	yes	CESiberia_2n	NT17	orange	CESiberia_2n	71.31612	129.44675	2	2	0,36	2	A._lyrata	NT_batch_2_2020	seeds			Nikita_Tikhomirov		CESiberia_2n			CED							
NT17.4-3	NT17.4-3	yes	yes	no	no	yes	CESiberia_2n	NT17	orange	CESiberia_2n	71.31612	129.44675	2	3	0,30	2	A._lyrata	NT_batch_2_2020	seeds			Nikita_Tikhomirov		CESiberia_2n			CED							
NT17.4-4	NT17.4-4	yes	yes	no	no	yes	CESiberia_2n	NT17	orange	CESiberia_2n	71.31612	129.44675	2	2	0,33	2	A._lyrata	NT_batch_2_2020	seeds			Nikita_Tikhomirov		CESiberia_2n			CED							
NT17.5-1	NT17.5-1	yes	yes	yes	yes	yes	CESiberia_2n	NT17	orange	CESiberia_2n	71.31612	129.44675	2	2	0,37	2	A._lyrata	NT_batch_2_2020	seeds			Nikita_Tikhomirov		CESiberia_2n			CED							
NT18-1	NT18-1	yes	yes	yes	yes	yes	CESiberia_2n	NT18	orange	CESiberia_2n	71.50507	129.28337	2	2	0,38	2	A._lyrata	NT_batch_2_2020	seeds			Nikita_Tikhomirov		CESiberia_2n			CED							
NT18-2	NT18-2	yes	yes	no	no	yes	CESiberia_2n	NT18	orange	CESiberia_2n	71.50507	129.28337	2	2	0,36	1	A._lyrata	NT_batch_2_2020	seeds			Nikita_Tikhomirov		CESiberia_2n			CED							
NT18-3	NT18-3	yes	yes	yes	yes	yes	CESiberia_2n	NT18	orange	CESiberia_2n	71.50507	129.28337	2	2	0,37	1	A._lyrata	NT_batch_2_2020	seeds			Nikita_Tikhomirov		CESiberia_2n			CED							
NT18-4	NT18-4	yes	yes	no	no	yes	CESiberia_2n	NT18	orange	CESiberia_2n	71.50507	129.28337	2	2	0,38	2	A._lyrata	NT_batch_2_2020	seeds			Nikita_Tikhomirov		CESiberia_2n			CED							
NT18-6	NT18-6	yes	yes	yes	yes	yes	CESiberia_2n	NT18	orange	CESiberia_2n	71.50507	129.28337	2	2	0,35	2	A._lyrata	NT_batch_2_2020	seeds			Nikita_Tikhomirov		CESiberia_2n			CED							
NT19.1-1	NT19.1-1	yes	yes	no	no	yes	CESiberia_2n	NT19	orange	CESiberia_2n	72.35875	127.65138	2	2	0,37	2	A._lyrata	NT_batch_2_2020	seeds			Nikita_Tikhomirov		CESiberia_2n			CED							
NT19.1-2	NT19.1-2	yes	yes	yes	yes	yes	CESiberia_2n	NT19	orange	CESiberia_2n	72.35875	127.65138	2	2	0,40	2	A._lyrata	NT_batch_2_2020	seeds			Nikita_Tikhomirov		CESiberia_2n			CED							
NT19.1-3	NT19.1-3	yes	yes	no	no	yes	CESiberia_2n	NT19	orange	CESiberia_2n	72.35875	127.65138	2	2	0,37	2	A._lyrata	NT_batch_2_2020	seeds			Nikita_Tikhomirov		CESiberia_2n			CED							
NT19.1-4	NT19.1-4	yes	yes	no	no	yes	CESiberia_2n	NT19	orange	CESiberia_2n	72.35875	127.65138	2	2	0,38	2	A._lyrata	NT_batch_2_2020	seeds			Nikita_Tikhomirov		CESiberia_2n			CED							
NT19.1-5	NT19.1-5	yes	yes	no	no	yes	CESiberia_2n	NT19	orange	CESiberia_2n	72.35875	127.65138	2	2	0,38	2	A._lyrata	NT_batch_2_2020	seeds			Nikita_Tikhomirov		CESiberia_2n			CED							
NT19.1-6	NT19.1-6	yes	yes	no	no	yes	CESiberia_2n	NT19	orange	CESiberia_2n	72.35875	127.65138	2	2	0,40	2	A._lyrata	NT_batch_2_2020	seeds			Nikita_Tikhomirov		CESiberia_2n			CED							
NT19.2-1	NT19.2-1	yes	yes	yes	yes	yes	CESiberia_2n	NT19	orange	CESiberia_2n	72.35875	127.65138	2	2	0,38	2	A._lyrata	NT_batch_2_2020	seeds			Nikita_Tikhomirov		CESiberia_2n			CED							
NT19.2-2	NT19.2-2	yes	yes	no	no	yes	CESiberia_2n	NT19	orange	CESiberia_2n	72.35875	127.65138	2	2	0,35	2	A._lyrata	NT_batch_2_2020	seeds			Nikita_Tikhomirov		CESiberia_2n			CED							
NT19.3-1	NT19.3-1	yes	yes	no	no	yes	CESiberia_2n	NT19	orange	CESiberia_2n	72.35875	127.65138	2	2	0,33	2	A._lyrata	NT_batch_2_2020	seeds			Nikita_Tikhomirov		CESiberia_2n			CED							
NT19.3-2	NT19.3-2	yes	yes	yes	yes	yes	CESiberia_2n	NT19	orange	CESiberia_2n	72.35875	127.65138	2	2	0,36	2	A._lyrata	NT_batch_2_2020	seeds			Nikita_Tikhomirov		CESiberia_2n			CED							
NT19.3-3	NT19.3-3	yes	yes	no	no	yes	CESiberia_2n	NT19	orange	CESiberia_2n	72.35875	127.65138	2	2	0,37	2	A._lyrata	NT_batch_2_2020	seeds			Nikita_Tikhomirov		CESiberia_2n			CED							
NT2_1_1	NT2_1_1	yes	yes	yes	yes	yes	CESiberia_2n	NT2	orange	CESiberia_2n	71.99619	129.12575	2	2	0,33	2	A._lyrata	NT_batch1_2019	seeds		cohort1	Nikita_Tikhomirov	y	CESiberia_2n	dip		CED							
NT2_2_1	NT2_2_1	yes	yes	yes	yes	yes	CESiberia_2n	NT2	orange	CESiberia_2n	71.99619	129.12575	2	2	0,29	1	A._lyrata	NT_batch1_2019	seeds		cohort1	Nikita_Tikhomirov	y	CESiberia_2n	dip		CED							
NT2_3_1	NT2_3_1	yes	yes	no	no	yes	CESiberia_2n	NT2	orange	CESiberia_2n	71.99619	129.12575	2	2	0,31	2	A._lyrata	NT_batch1_2019	seeds		cohort1	Nikita_Tikhomirov	y	CESiberia_2n	dip		CED							
NT2_4_1	NT2_4_1	yes	yes	no	no	yes	CESiberia_2n	NT2	orange	CESiberia_2n	71.99619	129.12575	2	2	0,32	2	A._lyrata	NT_batch1_2019	seeds		cohort1	Nikita_Tikhomirov	y	CESiberia_2n			CED							
NT2_5_1	NT2_5_1	yes	yes	yes	yes	yes	CESiberia_2n	NT2	orange	CESiberia_2n	71.99619	129.12575	2	2	0,32	2	A._lyrata	NT_batch1_2019	seeds		cohort1	Nikita_Tikhomirov	y	CESiberia_2n	dip		CED							
NT20.1-1	NT20.1-1	yes	yes	no	no	yes	CESiberia_2n	NT20	orange	CESiberia_2n	73.37268	126.45977	2	2	0,35	2	A._lyrata	NT_batch_2_2020	seeds			Nikita_Tikhomirov		CESiberia_2n			CED							
NT20.3-1	NT20.3-1	yes	yes	no	no	yes	CESiberia_2n	NT20	orange	CESiberia_2n	73.37268	126.45977	2	2	0,37	2	A._lyrata	NT_batch_2_2020	seeds			Nikita_Tikhomirov		CESiberia_2n			CED							
NT20.3-2	NT20.3-2	yes	yes	yes	yes	yes	CESiberia_2n	NT20	orange	CESiberia_2n	73.37268	126.45977	2	2	0,34	2	A._lyrata	NT_batch_2_2020	seeds			Nikita_Tikhomirov		CESiberia_2n			CED							
NT20.3-3	NT20.3-3	yes	yes	no	no	yes	CESiberia_2n	NT20	orange	CESiberia_2n	73.37268	126.45977	2	2	0,35	2	A._lyrata	NT_batch_2_2020	seeds			Nikita_Tikhomirov		CESiberia_2n			CED							
NT20.4-1	NT20.4-1	yes	yes	no	no	yes	CESiberia_2n	NT20	orange	CESiberia_2n	73.37268	126.45977	2	3	0,35	2	A._lyrata	NT_batch_2_2020	seeds			Nikita_Tikhomirov		CESiberia_2n			CED							
NT20.4-2	NT20.4-2	yes	yes	no	no	yes	CESiberia_2n	NT20	orange	CESiberia_2n	73.37268	126.45977	2	2	0,29	2	A._lyrata	NT_batch_2_2020	seeds			Nikita_Tikhomirov		CESiberia_2n			CED							
NT20.4-3	NT20.4-3	yes	yes	yes	yes	yes	CESiberia_2n	NT20	orange	CESiberia_2n	73.37268	126.45977	2	2	0,36	2	A._lyrata	NT_batch_2_2020	seeds			Nikita_Tikhomirov		CESiberia_2n			CED							
NT20.6-2	NT20.6-2	yes	yes	yes	yes	yes	CESiberia_2n	NT20	orange	CESiberia_2n	73.37268	126.45977	2	2	0,37	2	A._lyrata	NT_batch_2_2020	seeds			Nikita_Tikhomirov		CESiberia_2n			CED							
NT20.6-3	NT20.6-3	yes	yes	no	no	yes	CESiberia_2n	NT20	orange	CESiberia_2n	73.37268	126.45977	2	2	0,36	2	A._lyrata	NT_batch_2_2020	seeds			Nikita_Tikhomirov		CESiberia_2n			CED							
NT4_2_1	NT4_2_1	yes	yes	yes	yes	yes	CESiberia_2n	NT4	orange	CESiberia_2n	71.06107	127.56112	2	2	0,31	2	A._lyrata	NT_batch1_2019	seeds		cohort1	Nikita_Tikhomirov	y	CESiberia_2n	dip		CED							
NT4_3_1	NT4_3_1	yes	yes	yes	yes	yes	CESiberia_2n	NT4	orange	CESiberia_2n	71.06107	127.56112	2	2	0,32	2	A._lyrata	NT_batch1_2019	seeds		cohort1	Nikita_Tikhomirov	y	CESiberia_2n	dip		CED							
NT4.1	NT4.1	yes	yes	yes	yes	yes	CESiberia_2n	NT4	orange	CESiberia_2n	71.06107	127.56112	2	2	0,37	2	A._lyrata	NT_batch_2_2020	seeds			Nikita_Tikhomirov		CESiberia_2n			CED							
NT5_1_1	NT5_1_1	yes	yes	yes	yes	yes	CESiberia_2n	NT5	orange	CESiberia_2n	71.9924	127.01465	2	2	0,31	2	A._lyrata	NT_batch1_2019	seeds		cohort1	Nikita_Tikhomirov	y	CESiberia_2n	dip		CED							
NT5_2_1	NT5_2_1	yes	yes	yes	yes	yes	CESiberia_2n	NT5	orange	CESiberia_2n	71.9924	127.01465	2	2	0,33	2	A._lyrata	NT_batch1_2019	seeds		cohort1	Nikita_Tikhomirov	y	CESiberia_2n	dip		CED							
NT5_3_1	NT5_3_1	yes	yes	yes	yes	yes	CESiberia_2n	NT5	orange	CESiberia_2n	71.9924	127.01465	2	2	0,31	2	A._lyrata	NT_batch1_2019	seeds		cohort1	Nikita_Tikhomirov	y	CESiberia_2n	dip		CED							
NT8_1_1	NT8_1_1	yes	yes	yes	yes	yes	CESiberia_2n	NT8	orange	CESiberia_2n	66.70192	123.30781	2	2	0,29	2	A._lyrata	Kolesnikova_et_al._2023	published		cohort1	Nikita_Tikhomirov	y	CESiberia_2n										
NT8_2_1	NT8_2_1	yes	yes	yes	yes	yes	CESiberia_2n	NT8	orange	CESiberia_2n	66.70192	123.30781	2	2	0,29	2	A._lyrata	Kolesnikova_et_al._2023	published		cohort1	Nikita_Tikhomirov	y	CESiberia_2n	dip									
NT8_3_1	NT8_3_1	yes	yes	yes	yes	yes	CESiberia_2n	NT8	orange	CESiberia_2n	66.70192	123.30781	2	2	0,27	2	A._lyrata	Kolesnikova_et_al._2023	published		cohort1	Nikita_Tikhomirov	y	CESiberia_2n	dip									
NT8_4_1	NT8_4_1	yes	yes	no	no	yes	CESiberia_2n	NT11	orange	CESiberia_2n	66.70192	123.30781	2	2	0,28	2	A._lyrata	Kolesnikova_et_al._2023	publisched		cohort1	Nikita_Tikhomirov	y	CESiberia_2n	dip									
NT8_5_1	NT8_5_1	yes	yes	no	no	yes	CESiberia_2n	NT10	orange	CESiberia_2n	66.70192	123.30781	2	2	0,28	2	A._lyrata	NT_batch1_2019	seeds		cohort1	Nikita_Tikhomirov	y	CESiberia_2n	dip									
NT8.3-4	NT8.3-4	yes	yes	no	no	yes	CESiberia_2n	NT9	orange	CESiberia_2n	66.70192	123.30781	2	2	0,31	2	A._lyrata	NT_batch_2_2020	seeds			Nikita_Tikhomirov		CESiberia_2n										
NT8.4-5	NT8.4-5	yes	yes	no	no	yes	CESiberia_2n	NT8	orange	CESiberia_2n	66.70192	123.30781	2	2	0,35	2	A._lyrata	NT_batch_2_2020	seeds			Nikita_Tikhomirov		CESiberia_2n										
NT9_1_1	NT9_1_1	yes	yes	yes	yes	yes	CESiberia_2n	NT9	orange	CESiberia_2n	71.62518	128.86804	2	2	0,35	2	A._lyrata	NT_batch1_2019	seeds		cohort1	Nikita_Tikhomirov	y	CESiberia_2n	dip		CED							
NT9_2_1	NT9_2_1	yes	yes	yes	yes	yes	CESiberia_2n	NT9	orange	CESiberia_2n	71.62518	128.86804	2	2	0,32	2	A._lyrata	NT_batch1_2019	seeds		cohort1	Nikita_Tikhomirov	y	CESiberia_2n	dip		CED							
NT9_3_1	NT9_3_1	yes	yes	no	no	yes	CESiberia_2n	NT9	orange	CESiberia_2n	71.62518	128.86804	2	2	0,32	2	A._lyrata	NT_batch1_2019	seeds		cohort1	Nikita_Tikhomirov	y	CESiberia_2n	dip		CED							
NT9_4_1	NT9_4_1	yes	yes	yes	yes	yes	CESiberia_2n	NT9	orange	CESiberia_2n	71.62518	128.86804	2	2	0,32	2	A._lyrata	NT_batch1_2019	seeds		cohort1	Nikita_Tikhomirov	y	CESiberia_2n	dip		CED							
NT9_5_1	NT9_5_1	yes	yes	no	no	yes	CESiberia_2n	NT9	orange	CESiberia_2n	71.62518	128.86804	2	2	0,33	2	A._lyrata	NT_batch1_2019	seeds		cohort1	Nikita_Tikhomirov	y	CESiberia_2n	dip		CED							
PU_1mix-1	PU_1mix-1_4n	yes	yes	yes	yes	yes	PUWS_4n	PU1	pink	PUWS_4n	66.90776	65.69919	4	4	0,63	3	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_4n		PUWS_4n	PUT							
PU_1mix-2	PU_1mix-2_4n	yes	yes	yes	yes	yes	PUWS_4n	PU1	pink	PUWS_4n	66.90776	65.69919	4	4	0,70	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_4n		PUWS_4n	PUT							
PU_2mix-1	PU_2mix-1_4n	yes	yes	yes	yes	yes	PUWS_4n	PU2	pink	PUWS_4n	66.90819	65.6873	4	4	0,68	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_4n		PUWS_4n	PUT							
PU_2mix-2	PU_2mix-2_4n	yes	yes	yes	yes	yes	PUWS_4n	PU2	pink	PUWS_4n	66.90819	65.6873	4	4	0,73	3	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_4n		PUWS_4n	PUT							
PU_3mix-1	PU_3mix-1_4n	yes	yes	yes	yes	yes	PUWS_4n	PU3	pink	PUWS_4n	66.93358	65.6449	4	4	0,54	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_4n		PUWS_4n	PUT							
PU_3mix-2	PU_3mix-2_4n	yes	yes	yes	yes	yes	PUWS_4n	PU3	pink	PUWS_4n	66.93358	65.6449	4	4	0,72	3	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_4n		PUWS_4n	PUT							
PU_4mix-1	PU_4mix-1_4n	yes	yes	yes	yes	yes	PUWS_4n	PU4	pink	PUWS_4n	66.93139	65.59633	4	4	0,78	4	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_4n		PUWS_4n	PUT							
PU_4mix-2	PU_4mix-2_4n	yes	yes	yes	yes	yes	PUWS_4n	PU4	pink	PUWS_4n	66.93139	65.59633	4	4	0,69	3	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_4n		PUWS_4n	PUT							
PU_5mix-1	PU_5mix-1_4n	yes	yes	yes	yes	yes	PUWS_4n	PU5	pink	PUWS_4n	66.94763	65.52093	4	4	0,74	4	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_4n		PUWS_4n	PUT							
PU_5mix-2	PU_5mix-2_4n	yes	yes	yes	yes	yes	PUWS_4n	PU5	pink	PUWS_4n	66.94763	65.52093	4	4	0,52	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_4n		PUWS_4n	PUT							
PU_6.1-1	PU_6.1-1_4n	yes	yes	no	no	yes	PUWS_4n	PU14	pink	PUWS_4n	67.02145	65.13496	4	4	0,69	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_4n		PUWS_4n	PUT							
PU_6.1-2	PU_6.1-2_4n	yes	yes	yes	yes	yes	PUWS_4n	PU6	pink	PUWS_4n	67.02145	65.13496	4	4	0,77	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_4n		PUWS_4n	PUT							
PU_6.2-1	PU_6.2-1_4n	yes	yes	no	no	yes	PUWS_4n	PU7	pink	PUWS_4n	67.02145	65.13496	4	4	0,73	1	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_4n		PUWS_4n	PUT							
PU_6.2-2	PU_6.2-2_4n	yes	yes	no	no	yes	PUWS_4n	PU12	pink	PUWS_4n	67.02145	65.13496	4	4	0,69	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_4n		PUWS_4n	PUT							
PU_6.3-1	PU_6.3-1_4n	yes	yes	no	no	yes	PUWS_4n	PU21	pink	PUWS_4n	67.02145	65.13496	4	4	0,57	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_4n		PUWS_4n	PUT							
PU_6.3-2	PU_6.3-2_4n	yes	yes	no	no	yes	PUWS_4n	PU19	pink	PUWS_4n	67.02145	65.13496	4	4	0,62	3	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_4n		PUWS_4n	PUT							
PU_6.4-1	PU_6.4-1_4n	yes	yes	no	no	yes	PUWS_4n	PU18	pink	PUWS_4n	67.02145	65.13496	4	4	0,65	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_4n		PUWS_4n	PUT							
PU_6.4-2	PU_6.4-2_4n	yes	yes	no	no	yes	PUWS_4n	PU13	pink	PUWS_4n	67.02145	65.13496	4	4	0,69	4	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_4n		PUWS_4n	PUT							
PU_6.5-1	PU_6.5-1_4n	yes	yes	yes	yes	yes	PUWS_4n	PU6	pink	PUWS_4n	67.02145	65.13496	4	4	0,71	3	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_4n		PUWS_4n	PUT							
PU_6.5-2_4n	PU_6.5-2_4n	yes	yes	no	no	yes	PUWS_4n	PU11	pink	PUWS_4n	67.02145	65.13496	4	4	0,70	4	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_4n		PUWS_4n	PUT							
PU_6.6-1	PU_6.6-1_4n	yes	yes	no	no	yes	PUWS_4n	PU20	pink	PUWS_4n	67.02145	65.13496	4	4	0,57	3	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_4n		PUWS_4n	PUT							
PU_6.6-2	PU_6.6-2_4n	yes	yes	no	no	yes	PUWS_4n	PU17	pink	PUWS_4n	67.02145	65.13496	4	4	0,66	3	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_4n		PUWS_4n	PUT							
PU_6.7-1	PU_6.7-1_4n	yes	yes	no	no	yes	PUWS_4n	PU15	pink	PUWS_4n	67.02145	65.13496	4	4	0,69	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_4n		PUWS_4n	PUT							
PU_6.7-2	PU_6.7-2_4n	yes	yes	yes	yes	yes	PUWS_4n	PU6	pink	PUWS_4n	67.02145	65.13496	4	4	0,69	3	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_4n		PUWS_4n	PUT							
PU_6.8-1	PU_6.8-1_4n	yes	yes	no	no	yes	PUWS_4n	PU16	pink	PUWS_4n	67.02145	65.13496	4	4	0,67	3	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_4n		PUWS_4n	PUT							
PU_6.8-2	PU_6.8-2_4n	yes	yes	no	no	yes	PUWS_4n	PU9	pink	PUWS_4n	67.02145	65.13496	4	4	0,71	3	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_4n		PUWS_4n	PUT							
PU_6mix-1	PU_6mix-1_4n	yes	yes	no	no	yes	PUWS_4n	PU8	pink	PUWS_4n	67.02145	65.13496	4	4	0,72	4	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_4n		PUWS_4n	PUT							
PU_6mix-2	PU_6mix-2_4n	yes	yes	no	no	yes	PUWS_4n	PU10	pink	PUWS_4n	67.02145	65.13496	4	4	0,70	3	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_4n		PUWS_4n	PUT							
PU_7.1-1	PU_7.1-1_4n	yes	yes	yes	yes	yes	PUWS_4n	PU7	pink	PUWS_4n	67.00682	65.08945	4	4	0,70	4	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_4n		PUWS_4n	PUT							
PU_7.1-2	PU_7.1-2_4n	yes	yes	no	no	yes	PUWS_4n	PU7	pink	PUWS_4n	67.00682	65.08945	4	4	0,69	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_4n		PUWS_4n	PUT							
PU_7.2-1	PU_7.2-1_4n	yes	yes	no	no	yes	PUWS_4n	PU7	pink	PUWS_4n	67.00682	65.08945	4	4	0,71	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_4n		PUWS_4n	PUT							
PU_7.2-2	PU_7.2-2_4n	yes	yes	yes	yes	yes	PUWS_4n	PU7	pink	PUWS_4n	67.00682	65.08945	4	4	0,59	1	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_4n		PUWS_4n	PUT							
PU_7mix-1	PU_7mix-1_4n	yes	yes	yes	yes	yes	PUWS_4n	PU7	pink	PUWS_4n	67.00682	65.08945	4	4	0,57	3	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_4n		PUWS_4n	PUT							
PU_7mix-2	PU_7mix-2_4n	yes	yes	no	no	yes	PUWS_4n	PU7	pink	PUWS_4n	67.00682	65.08945	4	4	0,70	4	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_4n		PUWS_4n	PUT							
SRR2040769	SRR2040769	yes	yes	no	no	yes		SRR2040769		NA_2n	63.1	-69.72	2	3	0,10	1	A._lyrata	Novikova_et_al._2016	published		done		y											
SRR2040770	SRR2040770	yes	yes	no	no	yes		SRR2040770		NA_2n	56.54	-79.22	2	2	0,12	1	A._lyrata	Novikova_et_al._2016	published		done		y											
SRR2040775	SRR2040775	no	yes	no	no				exclude	ceb							A._cebenensis							outgroup		outgroup2								
SRR2040776	SRR2040776	no	yes	no	no				exclude	ceb							A._cebenensis							outgroup		outgroup2								
SRR2040777	SRR2040777	no	yes	no	no				exclude	ceb							A._cebenensis							outgroup		outgroup2								
SRR2040788	SRR2040788	no	yes	no	no	yes		SRR2040788		NA_2n	42.26	-81.84	2	2	0,11	1	A._lyrata	Novikova_et_al._2016	published		done		y											
SRR2040789	SRR2040789	no	yes	no	no	yes		SRR2040789		NA_2n	43.25	-81.85	2	2	0,15	2	A._lyrata	Novikova_et_al._2016	published		done		y											
SRR2040790	SRR2040790	yes	yes	no	yes	yes		SRR2040790		Germany_2n	49.62	11.51	2	2	0,35	2	A._lyrata	Novikova_et_al._2016	published		done		y											
SRR2040791	SRR2040791	yes	yes	no	yes	yes		SRR2040791		Chechia_2n	49.11	16.3	2	2	0,35	2	A._lyrata	Novikova_et_al._2016	published		done		y											
SRR2040793	SRR2040793	yes	yes	no	yes	yes		SRR2040793		UKScandinavia_2n	57	-3.11	2	2	0,29	2	A._lyrata	Novikova_et_al._2016	published		done		y											
SRR2040794	SRR2040794	yes	yes	no	yes	yes		SRR2040794		UKScandinavia_2n	56.4	-4.81	2	3	0,42	2	A._lyrata	Novikova_et_al._2016	published		done		y											
SRR2040795	SRR2040795	yes	yes	yes	yes	yes		SRR2040795	karelia	Karelia_2n	62.9	34.41	2	2	0,22	1	A._lyrata	Novikova_et_al._2016	published		done		y											
SRR2040796	SRR2040796	yes	no	no	no				exclude	exclude	62.9	34.41	unsure	2	0,25	3	A._lyrata	Novikova_et_al._2016	published		done		y											
SRR2040797	SRR2040797	yes	yes	no	yes	yes		SRR2040797		Austria_2n	47.91	15.97	2	2	0,37	1	A._lyrata	Novikova_et_al._2016	published		done		y											
SRR2040798	SRR2040798	yes	yes	no	yes	yes		SRR2040798		Chechia_2n	49.73	12.99	2	2	0,27	2	A._lyrata	Novikova_et_al._2016	published		done		y											
SRR2040804	SRR2040804	yes	yes	yes	yes	yes	CESiberia_2n	SRR2040804		CESiberia_2n	71.04	127.52	2	2	0,29	2	A._lyrata	Novikova_et_al._2016	published		done		y	CESiberia_2n			CED							
SRR2040805	SRR2040805_4n	yes	yes	yes	yes	yes	PUWS_4n	SRR2040805_4n		PUWS_4n	66.9	58.55	4	4	0,51	4	A._lyrata	Novikova_et_al._2016	published		done		y	PUWS_4n		PUWS_4n	PUT							
SRR2040806	SRR2040806	yes	yes	no	no	yes		SRR2040806	selfer	selfer	68.8	160.3	2	4	0,03	1	A._lyrata	Novikova_et_al._2016	published		done		y											
SRR2040826	SRR2040826_4n	yes	yes	no	yes	yes		SRR2040826		Austria_4n	48.07	16.26	4	4	0,64	1	A._lyrata	Novikova_et_al._2016	published				y											
SRR2040827	SRR2040827_4n	yes	yes	no	yes	yes		SRR2040827		Austria_4n	47.98	15.56	4	4	0,90	1	A._lyrata	Novikova_et_al._2016	published				y											
SRR2040828	SRR2040828_4n	yes	yes	no	yes	yes		SRR2040828		Austria_4n	48.23	15.34	4	4	0,85	3	A._lyrata	Novikova_et_al._2016	published				y											
